latency	type
133618	66
178336	13
191268	13
192929	14
240548	13
322589	13
421898	13
434022	13
485432	13
530839	13
605156	13
608797	14
753312	14
755161	13
849736	13
873601	666
1020178	66
1131565	13
1145433	13
1153944	14
1225229	13
1252754	13
1258236	13
1452124	13
1557542	13
1583405	13
1614918	666
1773146	66
1931559	13
1937970	13
2033189	13
2049269	13
2053139	14
2113457	13
2137408	13
2243731	13
2270149	13
2280409	13
2338822	13
2387965	666
2545512	66
2622944	14
2694725	14
2732068	14
2817947	13
2825126	14
2896202	14
3017531	13
3029406	13
3073855	13
3083446	13
3089748	14
3175632	14
3254255	13
3255052	14
3308904	14
3414393	13
3596583	13
3597837	14
3704175	14
3720767	444
3870172	66
4046330	13
4153695	13
4157168	13
4161852	13
4290335	13
4332969	13
4335379	13
4337654	13
4340112	14
4452439	13
4469799	13
4472205	13
4472585	666
4623033	66
4749532	13
4749664	14
4854094	13
4969861	13
5103984	14
5178894	13
5193264	13
5213282	13
5215558	13
5221145	13
5227055	666
