name	type	units	sampling_frequency
FP1	EEG	uV	1000
FPZ	EEG	uV	1000
FP2	EEG	uV	1000
AF3	EEG	uV	1000
AF4	EEG	uV	1000
F7	EEG	uV	1000
F5	EEG	uV	1000
F3	EEG	uV	1000
F1	EEG	uV	1000
FZ	EEG	uV	1000
F2	EEG	uV	1000
F4	EEG	uV	1000
F6	EEG	uV	1000
F8	EEG	uV	1000
FT7	EEG	uV	1000
FC5	EEG	uV	1000
FC3	EEG	uV	1000
FC1	EEG	uV	1000
FCZ	EEG	uV	1000
FC2	EEG	uV	1000
FC4	EEG	uV	1000
FC6	EEG	uV	1000
FT8	EEG	uV	1000
T7	EEG	uV	1000
C5	EEG	uV	1000
C3	EEG	uV	1000
C1	EEG	uV	1000
CZ	EEG	uV	1000
C2	EEG	uV	1000
C4	EEG	uV	1000
C6	EEG	uV	1000
T8	EEG	uV	1000
M1	EEG	uV	1000
TP7	EEG	uV	1000
CP5	EEG	uV	1000
CP3	EEG	uV	1000
CP1	EEG	uV	1000
CPZ	EEG	uV	1000
CP2	EEG	uV	1000
CP4	EEG	uV	1000
CP6	EEG	uV	1000
TP8	EEG	uV	1000
M2	EEG	uV	1000
P7	EEG	uV	1000
P5	EEG	uV	1000
P3	EEG	uV	1000
P1	EEG	uV	1000
PZ	EEG	uV	1000
P2	EEG	uV	1000
P4	EEG	uV	1000
P6	EEG	uV	1000
P8	EEG	uV	1000
PO7	EEG	uV	1000
PO5	EEG	uV	1000
PO3	EEG	uV	1000
POZ	EEG	uV	1000
PO4	EEG	uV	1000
PO6	EEG	uV	1000
PO8	EEG	uV	1000
CB1	EEG	uV	1000
O1	EEG	uV	1000
OZ	EEG	uV	1000
O2	EEG	uV	1000
CB2	EEG	uV	1000
HEO	EEG	uV	1000
VEO	EEG	uV	1000
TRIGGER	TRIG	unknown	1000
